# XDK Monitor Logger 1.0
# Start: 2016-05-05 19:05:13
# Timestamp, 	humidity of BME280 (%rh), 	light of BME280 (lux), 	pressure of BME280 (pa), 	temperature of BME280 (mDeg)
1081082, 	33.0, 	1536.0, 	100054.0, 	14400.0
1084012, 	33.0, 	1536.0, 	100060.0, 	14400.0
1086941, 	33.0, 	1536.0, 	100058.0, 	14400.0
1089871, 	33.0, 	1536.0, 	100059.0, 	14390.0
1092801, 	33.0, 	1536.0, 	100060.0, 	14390.0
1095730, 	33.0, 	1536.0, 	100062.0, 	14390.0
1098660, 	33.0, 	1536.0, 	100059.0, 	14360.0
1101590, 	32.0, 	1536.0, 	100059.0, 	14370.0
1104519, 	32.0, 	1536.0, 	100059.0, 	14360.0
1107449, 	32.0, 	1536.0, 	100063.0, 	14350.0
1110379, 	32.0, 	1536.0, 	100062.0, 	14350.0
1113308, 	32.0, 	1536.0, 	100063.0, 	14330.0
1116238, 	32.0, 	1536.0, 	100059.0, 	14330.0
1119168, 	32.0, 	1536.0, 	100062.0, 	14320.0
1122097, 	31.0, 	1536.0, 	100065.0, 	14320.0
1125027, 	31.0, 	1536.0, 	100063.0, 	14300.0
1127957, 	31.0, 	1536.0, 	100061.0, 	14300.0
1130887, 	31.0, 	1536.0, 	100062.0, 	14280.0
1133816, 	31.0, 	1536.0, 	100064.0, 	14280.0
1136746, 	30.0, 	1536.0, 	100059.0, 	14270.0
1139676, 	30.0, 	1536.0, 	100064.0, 	14270.0
1142605, 	30.0, 	1536.0, 	100062.0, 	14250.0
1145535, 	30.0, 	1536.0, 	100064.0, 	14240.0
1148465, 	30.0, 	1536.0, 	100065.0, 	14230.0
1151394, 	30.0, 	1536.0, 	100062.0, 	14220.0
1154324, 	29.0, 	1536.0, 	100062.0, 	14210.0
1157254, 	29.0, 	1536.0, 	100062.0, 	14200.0
1160183, 	29.0, 	1536.0, 	100065.0, 	14190.0
1163113, 	29.0, 	1536.0, 	100061.0, 	14180.0
1166043, 	29.0, 	1536.0, 	100065.0, 	14160.0
1168972, 	29.0, 	1536.0, 	100061.0, 	14160.0
1171902, 	28.0, 	1536.0, 	100063.0, 	14130.0
1174832, 	28.0, 	1536.0, 	100067.0, 	14130.0
1177762, 	28.0, 	1536.0, 	100060.0, 	14110.0
1180691, 	28.0, 	1536.0, 	100063.0, 	14090.0
1183621, 	28.0, 	1536.0, 	100059.0, 	14080.0
1186551, 	28.0, 	1536.0, 	100058.0, 	14070.0
1189480, 	28.0, 	1536.0, 	100055.0, 	14050.0
1192410, 	28.0, 	1536.0, 	100058.0, 	14050.0
1195340, 	27.0, 	1536.0, 	100060.0, 	14030.0
1198269, 	27.0, 	1536.0, 	100064.0, 	14020.0
1201199, 	27.0, 	1536.0, 	100062.0, 	14010.0
1204129, 	27.0, 	1536.0, 	100055.0, 	13980.0
1207058, 	27.0, 	1536.0, 	100059.0, 	13970.0
1209988, 	27.0, 	1536.0, 	100057.0, 	13950.0
1212918, 	27.0, 	1536.0, 	100055.0, 	13950.0
1215847, 	27.0, 	1536.0, 	100058.0, 	13930.0
1218777, 	26.0, 	1536.0, 	100060.0, 	13910.0
1221707, 	26.0, 	1536.0, 	100060.0, 	13890.0
1224637, 	26.0, 	1536.0, 	100064.0, 	13870.0
1227566, 	26.0, 	1536.0, 	100063.0, 	13860.0
1230496, 	26.0, 	1536.0, 	100059.0, 	13850.0
1233426, 	26.0, 	1536.0, 	100062.0, 	13830.0
1236355, 	26.0, 	1536.0, 	100062.0, 	13810.0
1239285, 	26.0, 	1536.0, 	100063.0, 	13800.0
1242215, 	26.0, 	1536.0, 	100064.0, 	13780.0
1245144, 	26.0, 	1536.0, 	100067.0, 	13770.0
1248074, 	25.0, 	1536.0, 	100069.0, 	13750.0
1251004, 	25.0, 	1536.0, 	100066.0, 	13730.0
1253933, 	25.0, 	1536.0, 	100057.0, 	13710.0
1256863, 	25.0, 	1536.0, 	100063.0, 	13700.0
1259793, 	25.0, 	1536.0, 	100066.0, 	13690.0
